id;name;phone_number;address;mail
1;Bike HDD;98088;Pants;relationships Refined Avon
2;Frozen;56097;Bedfordshire synergize;Bedfordshire ADP a
3;parse b;79162;Lorraine bypass;CSS Mille
4;Bedfordshire infomediaries Lek;99437;Dinar a silver;actuating port a
5;Slovaquie;90126;Keyboard;SMTP
6;cross-media ivory;31878;Consultant Checking pixel;b Team-oriented
7;Mexique;37432;mint;c Handcrafted
8;synergy;61351;navigate;visionary synthesizing Soft
9;Serbian c c;33410;a;HTTP cyan port
10;Money e-tailers;88216;de Berkshire;next
